"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.01.2024","4,9258","4,8615","4,9338","4,8614","","1,30%"
"15.01.2024","4,8628","4,8566","4,8868","4,8427","","0,18%"
"12.01.2024","4,8539","4,8712","4,8787","4,8309","","-0,33%"
"11.01.2024","4,8700","4,8930","4,8951","4,8580","","-0,43%"
"10.01.2024","4,8909","4,9072","4,9072","4,8776","","-0,26%"
"09.01.2024","4,9038","4,8737","4,9098","4,8703","","0,69%"
"08.01.2024","4,8700","4,8781","4,9014","4,8630","","-0,09%"
"05.01.2024","4,8743","4,9089","4,9407","4,8597","","-0,46%"
"04.01.2024","4,8968","4,9181","4,9366","4,8953","","-0,47%"
"03.01.2024","4,9198","4,9174","4,9397","4,8991","","-0,08%"
"02.01.2024","4,9235","4,8533","4,9240","4,8489","","1,46%"
"01.01.2024","4,8526","4,8534","4,8534","4,8534","","0,01%"
"28.12.2023","4,8521","4,8323","4,8714","4,8175","","0,53%"
"27.12.2023","4,8267","4,8107","4,8408","4,8018","","0,26%"
"26.12.2023","4,8140","4,8513","4,8614","4,8135","","-0,92%"
"22.12.2023","4,8585","4,8865","4,8908","4,8481","","-0,53%"
"21.12.2023","4,8844","4,9146","4,9146","4,8633","","-0,65%"
"20.12.2023","4,9163","4,8642","4,9193","4,8566","","1,00%"
"19.12.2023","4,8675","4,9027","4,9038","4,8505","","-0,60%"
"18.12.2023","4,8967","4,9414","4,9520","4,8903","","-0,82%"
"15.12.2023","4,9371","4,9121","4,9517","4,9040","","0,44%"
"14.12.2023","4,9155","4,8755","4,9180","4,8749","","-0,09%"
"13.12.2023","4,9197","4,9663","4,9773","4,9145","","-0,87%"
"12.12.2023","4,9631","4,9335","4,9740","4,9220","","0,50%"
"11.12.2023","4,9386","4,9268","4,9601","4,9260","","0,14%"
"08.12.2023","4,9317","4,9083","4,9368","4,8941","","0,41%"
"07.12.2023","4,9115","4,9026","4,9152","4,8790","","0,19%"
"06.12.2023","4,9022","4,9302","4,9310","4,8883","","-0,58%"
"05.12.2023","4,9306","4,9449","4,9680","4,9228","","-0,25%"
"04.12.2023","4,9432","4,8780","4,9539","4,8780","","1,29%"
"01.12.2023","4,8801","4,9265","4,9378","4,8675","","-0,82%"
"30.11.2023","4,9205","4,9060","4,9459","4,9050","","0,36%"
"29.11.2023","4,9029","4,8711","4,9077","4,8639","","0,67%"
"28.11.2023","4,8705","4,9050","4,9099","4,8575","","-0,53%"
"27.11.2023","4,8964","4,9060","4,9222","4,8718","","-0,11%"
"24.11.2023","4,9020","4,9076","4,9089","4,8826","","-0,04%"
"23.11.2023","4,9039","4,9074","4,9093","4,8861","","-0,06%"
"22.11.2023","4,9068","4,9050","4,9205","4,8775","","0,13%"
"21.11.2023","4,9006","4,8576","4,9093","4,8425","","0,95%"
"20.11.2023","4,8543","4,9025","4,9064","4,8464","","-1,05%"
"17.11.2023","4,9059","4,8636","4,9127","4,8509","","0,88%"
"16.11.2023","4,8632","4,8625","4,8876","4,8363","","0,02%"
"15.11.2023","4,8620","4,8625","4,8630","4,8610","","-0,07%"
"14.11.2023","4,8654","4,9079","4,9092","4,8472","","-0,86%"
"13.11.2023","4,9075","4,9009","4,9427","4,9008","","0,13%"
"10.11.2023","4,9013","4,9341","4,9549","4,9018","","-0,67%"
"09.11.2023","4,9342","4,9063","4,9476","4,8916","","0,49%"
"08.11.2023","4,9103","4,8736","4,9175","4,8706","","0,78%"
